Date (DGS report),New confirmed cases|North,New confirmed cases|Lisbon andTagus Valley,New confirmed cases|Center,New confirmed cases|Alentejo,New confirmed cases|Algarve,New confirmed cases|Madeira,New confirmed cases|Azores,New confirmed cases|Foreigners,Confirmed cases|New,Confirmed cases|Total,HospitalAdmitted Cases|Stable,HospitalAdmitted Cases|ICU,Deaths|New,Deaths|Total,Recoveries|New,Recoveries|Total,Refs.
2020-03-02,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,[1][2]
2020-03-03,0,1,1,0,0,0,0,0,2,4,0,0,0,0,0,0,
2020-03-04,1,1,0,0,0,0,0,0,2,6,0,0,0,0,0,0,
2020-03-05,2,1,0,0,0,0,0,0,3,9,9,0,0,0,0,0,
2020-03-06,3,1,0,0,0,0,0,0,4,13,13,0,0,0,0,0,
2020-03-07,7,1,0,0,0,0,0,0,8,21,21,0,0,0,0,0,
2020-03-08,8,0,0,0,1,0,0,0,9,30,30,0,0,0,0,0,
2020-03-09,4,4,0,0,1,0,0,0,9,39,38,0,0,0,0,0,
2020-03-10,0,2,0,0,0,0,0,0,2,41,40,0,0,0,0,0,
2020-03-11,9,6,2,0,1,0,0,0,18,59,57,0,0,0,0,0,
2020-03-12,8,5,3,0,2,0,0,1,19,78,107,0,0,0,1,1,[3]
2020-03-13,9,24,1,0,1,0,0,0,34,112,107,0,0,0,0,1,[4][5]
2020-03-14,24,27,2,0,1,0,0,1,57,169,114,10,0,0,0,1,[6]
2020-03-15,26,43,2,0,3,0,1,0,76,245,139,9,0,0,1,2,
2020-03-16,35,26,21,0,3,0,0,1,86,331,139,18,1,1,1,3,[7]
2020-03-17,58,38,20,0,1,0,0,1,117,448,206,17,0,1,0,3,
2020-03-18,93,63,23,2,7,1,2,3,194,642,89,20,1,2,0,3,[8][9]
2020-03-19,92,35,12,0,4,0,0,0,143,785,89,20,1,3,0,3,
2020-03-20,125,83,20,0,4,0,0,0,235,1020,126,26,3,6,2,5,
2020-03-21,138,87,31,1,2,4,0,0,260,1280,156,35,6,12,0,5,
2020-03-22,181,86,43,2,4,2,1,1,320,1600,169,41,2,14,0,5,
2020-03-23,182,203,58,0,7,2,7,1,460,2060,201,47,9,23,9,14,
2020-03-24,123,115,55,1,4,3,1,0,302,2362,203,48,10,33,8,22,
2020-03-25,387,140,72,6,16,4,5,3,633,2995,276,61,10,43,0,22,
2020-03-26,341,90,70,8,27,(-1),7,7,549,3544,191,61,17,60,21,43,
